"time","reference","prediction"
0.722,-1.5229152384376656,-1.5598507778077906
0.724,-1.5197938196065621,-1.5575041740725735
0.726,-1.5168935999956354,-1.5553281397969303
0.728,-1.5142168770552826,-1.5533234425029092
0.73,-1.5117657700929232,-1.5514907816324004
0.732,-1.5095422188667156,-1.5498307901875066
0.734,-1.5075479822985267,-1.5483440362410867
0.736,-1.5057846373069834,-1.5470310243139123
0.738,-1.50425357776135,-1.5458921966152368
0.74,-1.5029560135568971,-1.544927934143968
0.742,-1.5018929698123586,-1.5441385576479463
0.744,-1.5010652861899878,-1.5435243284392088
0.746,-1.5004736163386412,-1.5430854490634478
0.748,-1.5001184274602581,-1.5428220638221997
0.75,-1.5,-1.542734259146644
0.752,-1.5001184274602581,-1.5428220638221997
0.754,-1.5004736163386412,-1.5430854490634478
0.756,-1.5010652861899878,-1.5435243284392088
0.758,-1.5018929698123586,-1.5441385576479463
0.76,-1.5029560135568971,-1.544927934143968
0.762,-1.50425357776135,-1.5458921966152368
0.764,-1.5057846373069834,-1.5470310243139123
0.766,-1.5075479822985267,-1.5483440362410867
0.768,-1.5095422188667156,-1.5498307901875066
0.77,-1.5117657700929235,-1.5514907816324
0.772,-1.5142168770552826,-1.5533234425029092
0.774,-1.5168935999956354,-1.5553281397969303
0.776,-1.519793819606562,-1.557504174072573
0.778,-1.5229152384376656,-1.5598507778077906
0.78,-1.5262553824202185,-1.56236711363412
0.782,-1.529811602509188,-1.5650522724488636
0.784,-1.533581076441599,-1.567905271410433
0.786,-1.537560810610103,-1.5709250518219866
0.788,-1.5417476420505647,-1.574110476908917
0.79,-1.5461382405423838,-1.5774603294961485
0.792,-1.5507291108202195,-1.5809733095916663
0.794,-1.5555165948956973,-1.5846480318831193
0.796,-1.5604968744876173,-1.5884830231547968
0.798,-1.5656659735591076,-1.592476719632729
0.8,-1.571019760960103,-1.5966274642661347
0.802,-1.5765539531734545,-1.6009335039538741
0.804,-1.5822641171629206,-1.6053929867250565
